@relation r200

@attribute ST01 numeric
@attribute ST02 numeric
@attribute ST03 numeric
@attribute ST04 numeric
@attribute ST05 numeric
@attribute ST06 numeric
@attribute ST07 numeric
@attribute ST08 numeric
@attribute ST09 numeric
@attribute ST10 numeric
@attribute ST11 numeric
@attribute CT01 numeric
@attribute CT02 numeric
@attribute CT03 numeric
@attribute CT04 numeric
@attribute CT05 numeric
@attribute CT06 numeric
@attribute CT07 numeric
@attribute CT08 numeric
@attribute CT09 numeric
@attribute CT10 numeric
@attribute CT11 numeric
@attribute CT12 numeric
@attribute CT13 numeric
@attribute CT14 numeric
@attribute CT15 numeric
@attribute CT16 numeric
@attribute CT17 numeric
@attribute CT18 numeric
@attribute CT19 numeric
@attribute CT20 numeric
@attribute CT21 numeric
@attribute CT22 numeric
@attribute CT23 numeric
@attribute AT01 numeric
@attribute AT02 numeric
@attribute AT03 numeric
@attribute AT04 numeric
@attribute AT05 numeric
@attribute AT06 numeric
@attribute AT07 numeric
@attribute AT08 numeric
@attribute AT09 numeric
@attribute AT10 numeric
@attribute AT11 numeric
@attribute AT12 numeric
@attribute AT13 numeric
@attribute AT14 numeric
@attribute AT15 numeric
@attribute AT16 numeric
@attribute CB01 numeric
@attribute CB02 numeric
@attribute CB03 numeric
@attribute CB04 numeric
@attribute CB05 numeric
@attribute CB06 numeric
@attribute CB07 numeric
@attribute CB08 numeric
@attribute CB09 numeric
@attribute CB10 numeric
@attribute CB11 numeric
@attribute CB12 numeric
@attribute CB13 numeric
@attribute CB14 numeric
@attribute CB15 numeric
@attribute CB16 numeric
@attribute CB17 numeric
@attribute CB18 numeric
@attribute CB19 numeric
@attribute CB20 numeric
@attribute CB21 numeric
@attribute CB22 numeric
@attribute CB23 numeric
@attribute AB01 numeric
@attribute AB02 numeric
@attribute AB03 numeric
@attribute AB04 numeric
@attribute AB05 numeric
@attribute AB06 numeric
@attribute AB07 numeric
@attribute AB08 numeric
@attribute AB09 numeric
@attribute AB10 numeric
@attribute AB11 numeric
@attribute AB12 numeric
@attribute AB13 numeric
@attribute AB14 numeric
@attribute AB15 numeric
@attribute AB16 numeric
@attribute flag {InTrace,OutTrace}

@data
16,4,1,3,1,12,17,12,4,152,154,28,26,65,13,0,263,20,2,3,2,2,0,2,0,0,0,0,0,4,11,2,0,6,0.1,0.15,0.1,0.1,0,0.1,0,0,0,0,0,0.2,0.55,0.1,0,0.1,28,26,65,13,0,263,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,InTrace
21,6,1,2,0,11,19,11,19,152,154,59,14,96,34,1,139,16,2,4,2,1,0,1,0,0,0,0,0,1,12,2,0,1,0.125,0.25,0.125,0.063,0,0.063,0,0,0,0,0,0.063,0.75,0.125,0,0.125,59,14,96,34,1,139,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
14,2,1,1,1,5,3,5,3,152,154,23,9,50,22,1,267,12,2,2,2,1,0,1,0,0,0,0,0,0,5,1,0,2,0.167,0.167,0.167,0.083,0,0.083,0,0,0,0,0,0,0.417,0.083,0,0.083,23,9,50,22,1,267,12,2,2,2,1,0,1,0,0,0,0,0,0,5,1,0,2,0.167,0.167,0.167,0.083,0,0.083,0,0,0,0,0,0,0.417,0.083,0,0.083,InTrace
20,3,1,2,1,14,5,14,7,152,154,4,14,15,12,1,52,9,0,0,2,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0.222,0,0,0,0,0,0,0,0,0.111,0.222,0.333,0,0.333,4,14,15,12,1,52,8,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0.375,0,0.375,InTrace
14,17,4,15,0,9,9,10,9,152,154,15,10,13,12,1,70,41,3,5,6,2,0,2,0,0,0,0,0,13,11,0,2,10,0.073,0.122,0.146,0.049,0,0.049,0,0,0,0,0,0.317,0.268,0,0.049,0,48,8,22,12,0,82,60,2,12,7,0,0,0,0,0,1,1,0,7,17,3,0,14,0.033,0.2,0.117,0,0,0,0,0,0.017,0.017,0,0.117,0.283,0.05,0,0.05,InTrace
14,17,4,15,0,9,9,10,9,152,154,15,10,13,12,1,70,41,3,5,6,2,0,2,0,0,0,0,0,13,11,0,2,10,0.073,0.122,0.146,0.049,0,0.049,0,0,0,0,0,0.317,0.268,0,0.049,0,48,8,22,12,0,82,60,2,12,7,0,0,0,0,0,1,1,0,7,17,3,0,14,0.033,0.2,0.117,0,0,0,0,0,0.017,0.017,0,0.117,0.283,0.05,0,0.05,InTrace
20,4,1,2,1,10,19,10,9,152,154,48,8,22,12,0,82,16,2,3,2,0,0,0,0,0,0,0,0,0,2,3,0,2,0.125,0.188,0.125,0,0,0,0,0,0,0,0,0,0.125,0.188,0,0.188,48,8,22,12,0,82,60,2,12,7,0,0,0,0,0,1,1,0,7,17,3,0,14,0.033,0.2,0.117,0,0,0,0,0,0.017,0.017,0,0.117,0.283,0.05,0,0.05,InTrace
20,2,1,1,1,23,16,23,16,152,154,0,1,18,7,1,11,5,5,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0.4,0,1,18,7,1,11,5,5,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0.4,InTrace
16,11,4,9,0,19,16,10,9,152,154,17,6,16,11,1,49,13,1,2,3,0,0,0,0,0,0,0,0,3,8,1,0,9,0.077,0.154,0.231,0,0,0,0,0,0,0,0,0.231,0.615,0.077,0,0.077,48,8,22,12,0,82,60,2,12,7,0,0,0,0,0,1,1,0,7,17,3,0,14,0.033,0.2,0.117,0,0,0,0,0,0.017,0.017,0,0.117,0.283,0.05,0,0.05,InTrace
20,5,2,4,1,19,19,19,9,152,154,14,46,89,8,0,96,22,4,2,3,1,0,1,0,0,1,1,0,1,5,3,0,4,0.182,0.091,0.136,0.045,0,0.045,0,0,0.045,0.045,0,0.045,0.227,0.136,0,0.136,14,46,89,8,0,96,24,3,2,4,0,0,0,0,0,0,0,0,0,6,5,0,3,0.125,0.083,0.167,0,0,0,0,0,0,0,0,0,0.25,0.208,0,0.208,InTrace
